amphoe_name,province_name,pm25_mean,pm25_std,pm25_min,pm25_max,data_points,latitude,longitude,air_quality_category,air_quality_color,Unnamed: 11,longitude_original,latitude_original
หนองม่วงไข่,แพร่,26.7,19.05,7.58,86.56,366,11.545974344298623,99.5645808386119,Unhealthy for Sensitive,#ff7e00,หนองม่วงไข่|แพร่,11083478.44,1294080.295
เมืองภูเก็ต,ภูเก็ต,15.45,4.03,9.93,29.07,366,11.290506607393736,99.44478582423508,Moderate,#ffff00,เมืองภูเก็ต|ภูเก็ต,11070142.92,1265067.516
กะทู้,ภูเก็ต,15.5,4.06,10.06,29.12,366,11.064775347663785,99.33626044459213,Moderate,#ffff00,กะทู้|ภูเก็ต,11058061.93,1239453.331
ไชยปราการ,เชียงใหม่,27.64,21.49,8.13,99.36,366,10.86484828328293,99.48888196557583,Unhealthy for Sensitive,#ff7e00,ไชยปราการ|เชียงใหม่,11075051.68,1216783.687
อมก๋อย,เชียงใหม่,26.26,17.38,8.32,71.52,366,10.849407249763189,99.48148478836876,Unhealthy for Sensitive,#ff7e00,อมก๋อย|เชียงใหม่,11074228.23,1215033.47
แม่วาง,เชียงใหม่,27.41,20.25,8.25,99.68,366,10.83972286262747,99.49706193472149,Unhealthy for Sensitive,#ff7e00,แม่วาง|เชียงใหม่,11075962.27,1213935.806
เวียงแหง,เชียงใหม่,27.47,21.96,7.96,96.3,366,10.82271911739067,99.49154223645822,Unhealthy for Sensitive,#ff7e00,เวียงแหง|เชียงใหม่,11075347.82,1212008.625
ดอยเต่า,เชียงใหม่,26.54,18.11,8.14,77.34,366,10.811633770681478,99.33915230115475,Unhealthy for Sensitive,#ff7e00,ดอยเต่า|เชียงใหม่,11058383.85,1210752.286
ดอยหล่อ,เชียงใหม่,27.13,19.56,8.16,94.5,366,10.799956716184038,99.53784607744122,Unhealthy for Sensitive,#ff7e00,ดอยหล่อ|เชียงใหม่,11080502.34,1209428.937
แม่ออน,เชียงใหม่,27.13,19.88,7.94,95.54,366,10.781885452371439,99.52953468476947,Unhealthy for Sensitive,#ff7e00,แม่ออน|เชียงใหม่,11079577.12,1207381.04
ฮอด,เชียงใหม่,26.65,18.5,8.19,81.21,366,10.770915087495833,99.09490585512592,Unhealthy for Sensitive,#ff7e00,ฮอด|เชียงใหม่,11031194.46,1206137.901
สารภี,เชียงใหม่,27.23,20.72,7.86,111.19,366,10.701817911036466,99.40975350444805,Unhealthy for Sensitive,#ff7e00,สารภี|เชียงใหม่,11066243.14,1198308.991
เชียงดาว,เชียงใหม่,27.49,21.11,8.14,95.23,366,10.557476355399825,99.3794356331036,Unhealthy for Sensitive,#ff7e00,เชียงดาว|เชียงใหม่,11062868.17,1181960.417
